Model,Accuracy,Precision,Recall,F1 Score
<<<<<<< Updated upstream,,,,
<<<<<<< Updated upstream,,,,
MLP,0.9776075740652092,1.0,0.6698039215686274,0.8022545796148427
=======,,,,
MLP,0.9993813795236622,0.7777777777777778,1.0,0.875
MLP,0.998175737306172,0.9130434782608696,1.0,0.9545454545454546
>>>>>>> Stashed changes,,,,
=======,,,,
MLP,0.9993813795236622,0.7777777777777778,1.0,0.875
MLP,0.998175737306172,0.9130434782608696,1.0,0.9545454545454546
>>>>>>> Stashed changes,,,,
MLP,1.0,1.0,1.0,1.0
MLP,1.0,1.0,1.0,1.0
